Name,Location,Price,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Stars,Country
Gotthardt's by Yannick Noack,"Koblenz, Germany",4,"Modern Cuisine, Creative",7.5598451,50.3580498,2 Stars,0,"Air conditioning,Car park,Great view,Terrace,Wheelchair access",twoStar,Germany
OPUS V,"Mannheim, Germany",4,"Modern Cuisine, Creative",8.4697743,49.4857999,2 Stars,0,"Air conditioning,Great view,Interesting wine list,Terrace,Wheelchair access",twoStar,Germany
Ophelia,"Constance, Germany",4,"Creative French, International",9.187565,47.6673977,2 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Terrace",twoStar,Germany
Tantris,"Munich, Germany",4,"French Contemporary, Classic Cuisine",11.588259,48.1697565,2 Stars,0,"Air conditioning,Car park,Interesting wine list,Terrace,Valet parking",twoStar,Germany
Alois - Dallmayr Fine Dining,"Munich, Germany",4,"Creative, Modern Cuisine",11.5771585,48.1383054,2 Stars,0,"Air conditioning,Interesting wine list",twoStar,Germany
sein,"Karlsruhe, Germany",4,"Modern Cuisine, Creative",8.3818129,49.006215,2 Stars,0,Air conditioning,twoStar,Germany
Intense,"Wachenheim an der Weinstraße, Germany",4,"Fusion, Creative",8.1820048,49.4385482,2 Stars,0,"Air conditioning,Car park,Interesting wine list,Notable sake list",twoStar,Germany
Jante,"Hanover, Germany",4,"Creative, Modern Cuisine",9.7607965,52.3702201,2 Stars,0,"Interesting wine list,Terrace",twoStar,Germany
Votum,"Hanover, Germany",4,"Creative, Modern Cuisine",9.7354833,52.3700102,2 Stars,0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access",twoStar,Germany
100/200 Kitchen,"Hamburg, Germany",4,"Creative, Modern Cuisine",10.0285764,53.5374323,2 Stars,1,"Air conditioning,Car park,Counter dining,Great view,Wheelchair access",twoStar,Germany
Le Cerf,"Zweiflingen, Germany",4,Classic French,9.5258355,49.2436455,2 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access",twoStar,Germany
Hirschen,"Sulzburg, Germany",4,"Creative, Seasonal Cuisine",7.7088806,47.8404612,2 Stars,0,,twoStar,Germany
LOUIS restaurant,"Saarlouis, Germany",4,"Modern French, Asian",6.7552911,49.3172819,2 Stars,0,"Car park,Garden or park,Interesting wine list,Wheelchair access",twoStar,Germany
Oswald's Gourmetstube,"Teisnach, Germany",4,"Modern French, Contemporary",13.0296421,49.0134357,2 Stars,0,"Air conditioning,Car park",twoStar,Germany
Gourmetrestaurant Dichter,"Rottach-Egern, Germany",4,"Modern Cuisine, Creative French",11.7538484,47.6941309,2 Stars,0,"Car park,Garden or park,Wheelchair access",twoStar,Germany
Le Pavillon,"Bad Peterstal, Germany",4,"Classic French, Seasonal Cuisine",8.2507048,48.4574092,2 Stars,0,"Car park,Garden or park,Great view,Interesting wine list,Wheelchair access",twoStar,Germany
Ösch Noir,"Donaueschingen, Germany",4,"Modern Cuisine, Classic Cuisine",8.5471151,47.9655184,2 Stars,0,"Air conditioning,Car park,Interesting wine list,Wheelchair access",twoStar,Germany
Coeur D'Artichaut,"Münster, Germany",4,"Modern French, Creative",7.6294251,51.9638925,2 Stars,0,"Air conditioning,Terrace",twoStar,Germany
Pietsch,"Wernigerode, Germany",4,"Creative, Asian Contemporary",10.7890106,51.8352945,2 Stars,0,"Counter dining,Interesting wine list",twoStar,Germany
PUR,"Berchtesgaden, Germany",4,"Modern Cuisine, Contemporary",13.0468265,47.6340765,2 Stars,0,"Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access",twoStar,Germany
AURA by Alexander Herrmann & Tobias Bätz,"Wirsberg, Germany",4,"Creative, Modern Cuisine",11.6069241,50.1073707,2 Stars,1,"Air conditioning,Car park",twoStar,Germany
ammolite - The Lighthouse Restaurant,"Rust, Germany",4,"Modern Cuisine, Classic French",7.7251226,48.259724,2 Stars,0,"Air conditioning,Car park,Terrace,Wheelchair access",twoStar,Germany
GästeHaus Klaus Erfort,"Saarbrücken, Germany",4,Classic French,7.0076258,49.2295502,2 Stars,0,"Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access",twoStar,Germany
Esplanade,"Saarbrücken, Germany",4,"Classic Cuisine, Creative",6.9996028,49.2349097,2 Stars,0,"Air conditioning,Car park,Interesting wine list",twoStar,Germany
Essigbrätlein,"Nuremberg, Germany",4,"Innovative, Farm to table",11.0748188,49.455062,2 Stars,1,"Air conditioning,Interesting wine list",twoStar,Germany
Lakeside,"Hamburg, Germany",4,Modern Cuisine,9.9980345,53.565225,2 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list",twoStar,Germany
Lafleur,"Frankfurt on the Main, Germany",4,"Modern French, Creative",8.6565825,50.1214911,2 Stars,0,"Air conditioning,Car park,Interesting wine list,Wheelchair access",twoStar,Germany
